costoptimizationdata317256447485,cid-data-317256447485,is_modified,file_date
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-14T204100Z-9b3cc63c-2923-4bed-9c02-65a0e3ac95ef-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-14T204100Z-9b3cc63c-2923-4bed-9c02-65a0e3ac95ef-metadata.json,False,2023-12-14 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-14T204100Z-9b3cc63c-2923-4bed-9c02-65a0e3ac95ef.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-14T204100Z-9b3cc63c-2923-4bed-9c02-65a0e3ac95ef.csv,False,2023-12-14 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-15T204059Z-de83e454-92f5-44a3-b1a2-d1d6972b5176-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-15T204059Z-de83e454-92f5-44a3-b1a2-d1d6972b5176-metadata.json,False,2023-12-15 20:45:11+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-15T204059Z-de83e454-92f5-44a3-b1a2-d1d6972b5176.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-15T204059Z-de83e454-92f5-44a3-b1a2-d1d6972b5176.csv,False,2023-12-15 20:45:11+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-16T204100Z-588d8742-222b-49d4-b841-86fdb04a2755-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-16T204100Z-588d8742-222b-49d4-b841-86fdb04a2755-metadata.json,False,2023-12-16 20:45:05+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-16T204100Z-588d8742-222b-49d4-b841-86fdb04a2755.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-16T204100Z-588d8742-222b-49d4-b841-86fdb04a2755.csv,False,2023-12-16 20:45:05+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-17T204059Z-1b89fd9c-bf8f-43f0-bfff-1a169554a5ef-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-17T204059Z-1b89fd9c-bf8f-43f0-bfff-1a169554a5ef-metadata.json,False,2023-12-17 20:45:04+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-17T204059Z-1b89fd9c-bf8f-43f0-bfff-1a169554a5ef.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-17T204059Z-1b89fd9c-bf8f-43f0-bfff-1a169554a5ef.csv,False,2023-12-17 20:45:04+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-18T204100Z-073dd340-1d01-41bc-8287-d863cc748083-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-18T204100Z-073dd340-1d01-41bc-8287-d863cc748083-metadata.json,False,2023-12-18 20:45:01+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-18T204100Z-073dd340-1d01-41bc-8287-d863cc748083.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-18T204100Z-073dd340-1d01-41bc-8287-d863cc748083.csv,False,2023-12-18 20:45:01+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-19T204100Z-75719c12-aaf2-4209-ab3f-0db441ed5c6b-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-19T204100Z-75719c12-aaf2-4209-ab3f-0db441ed5c6b-metadata.json,False,2023-12-19 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-19T204100Z-75719c12-aaf2-4209-ab3f-0db441ed5c6b.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-19T204100Z-75719c12-aaf2-4209-ab3f-0db441ed5c6b.csv,False,2023-12-19 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-20T204059Z-d3545890-477c-4810-90b7-427043e3beba-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-20T204059Z-d3545890-477c-4810-90b7-427043e3beba-metadata.json,False,2023-12-20 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-20T204059Z-d3545890-477c-4810-90b7-427043e3beba.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-20T204059Z-d3545890-477c-4810-90b7-427043e3beba.csv,False,2023-12-20 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-21T204100Z-7ef3c51d-367b-4d6f-a025-32c4542fe316-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-21T204100Z-7ef3c51d-367b-4d6f-a025-32c4542fe316-metadata.json,False,2023-12-21 20:45:07+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-21T204100Z-7ef3c51d-367b-4d6f-a025-32c4542fe316.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-21T204100Z-7ef3c51d-367b-4d6f-a025-32c4542fe316.csv,False,2023-12-21 20:45:07+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-22T204059Z-5ef8cb33-29ad-4f98-b3d2-582b5de93c05-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-22T204059Z-5ef8cb33-29ad-4f98-b3d2-582b5de93c05-metadata.json,False,2023-12-22 20:45:07+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-22T204059Z-5ef8cb33-29ad-4f98-b3d2-582b5de93c05.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-22T204059Z-5ef8cb33-29ad-4f98-b3d2-582b5de93c05.csv,False,2023-12-22 20:45:07+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-23T204100Z-ecdabafb-8e10-4dbb-aaa4-2df501c93d39-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-23T204100Z-ecdabafb-8e10-4dbb-aaa4-2df501c93d39-metadata.json,False,2023-12-23 20:45:09+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-23T204100Z-ecdabafb-8e10-4dbb-aaa4-2df501c93d39.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-23T204100Z-ecdabafb-8e10-4dbb-aaa4-2df501c93d39.csv,False,2023-12-23 20:45:09+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-24T204100Z-4864b69d-7bb0-4b04-a9f6-e19c3d59203f-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-24T204100Z-4864b69d-7bb0-4b04-a9f6-e19c3d59203f-metadata.json,False,2023-12-24 20:45:05+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-24T204100Z-4864b69d-7bb0-4b04-a9f6-e19c3d59203f.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-24T204100Z-4864b69d-7bb0-4b04-a9f6-e19c3d59203f.csv,False,2023-12-24 20:45:04+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-25T204059Z-8b534caa-0647-4d2d-88e7-6037895cff5a-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-25T204059Z-8b534caa-0647-4d2d-88e7-6037895cff5a-metadata.json,False,2023-12-25 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-25T204059Z-8b534caa-0647-4d2d-88e7-6037895cff5a.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-25T204059Z-8b534caa-0647-4d2d-88e7-6037895cff5a.csv,False,2023-12-25 20:45:09+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-27T204059Z-d775027a-f4aa-4a26-bc6a-a38acd7b1216-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-27T204059Z-d775027a-f4aa-4a26-bc6a-a38acd7b1216-metadata.json,False,2023-12-27 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-27T204059Z-d775027a-f4aa-4a26-bc6a-a38acd7b1216.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-27T204059Z-d775027a-f4aa-4a26-bc6a-a38acd7b1216.csv,False,2023-12-27 20:45:10+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-28T204059Z-a2dc04db-1240-4557-9648-82ae4ae2ff47-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-28T204059Z-a2dc04db-1240-4557-9648-82ae4ae2ff47-metadata.json,False,2023-12-28 20:42:34+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-28T204059Z-a2dc04db-1240-4557-9648-82ae4ae2ff47.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-28T204059Z-a2dc04db-1240-4557-9648-82ae4ae2ff47.csv,False,2023-12-28 20:42:34+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-29T204100Z-f6c0299c-14f4-4ae2-b052-5ed3002f6cba-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-29T204100Z-f6c0299c-14f4-4ae2-b052-5ed3002f6cba-metadata.json,False,2023-12-29 20:42:37+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-29T204100Z-f6c0299c-14f4-4ae2-b052-5ed3002f6cba.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-29T204100Z-f6c0299c-14f4-4ae2-b052-5ed3002f6cba.csv,False,2023-12-29 20:42:37+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-30T204059Z-7fafa7d9-8720-4938-aaa5-1c5ba515c939-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-30T204059Z-7fafa7d9-8720-4938-aaa5-1c5ba515c939-metadata.json,False,2023-12-30 20:42:33+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-30T204059Z-7fafa7d9-8720-4938-aaa5-1c5ba515c939.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-30T204059Z-7fafa7d9-8720-4938-aaa5-1c5ba515c939.csv,False,2023-12-30 20:42:33+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-31T204059Z-a6ac1e42-e745-4864-9d01-a07238bbbd25-metadata.json,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-31T204059Z-a6ac1e42-e745-4864-9d01-a07238bbbd25-metadata.json,False,2023-12-31 20:42:34+00:00
compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-31T204059Z-a6ac1e42-e745-4864-9d01-a07238bbbd25.csv,compute_optimizer/compute_optimizer_auto_scale/payer_id=317256447485/year=2023/month=12/compute-optimizer/317256447485/us-east-1-2023-12-31T204059Z-a6ac1e42-e745-4864-9d01-a07238bbbd25.csv,False,2023-12-31 20:42:34+00:00
